序号,发射地省份,地市,区县,发射台名,频道,发射功率(千瓦）,节目
222,河北省,石家庄市,无极县,无极县电视发射台,DS-7,0.05,无极县广播电视台电视节目
223,河北省,石家庄市,辛集市,辛集市电视转播台,DS-15,3,中央电视台军事农业频道
224,河北省,石家庄市,辛集市,辛集市电视发射台,DS-8,0.3,辛集市广播电视台电视节目
225,河北省,石家庄市,新乐市,新乐市电视发射台,DS-15,0.3,新乐市广播电视台电视节目
226,河北省,石家庄市,行唐县,行唐县电视发射台,DS-45,0.3,中央电视台军事农业频道
227,河北省,石家庄市,行唐县,行唐县电视发射台,DS-27,0.3,行唐县广播电视台电视节目
228,河北省,石家庄市,裕华区,石家庄电视发射台,DS-19,10,石家庄电视台新闻综合频道
229,河北省,石家庄市,裕华区,石家庄电视发射台,DS-21,3,石家庄电视台娱乐频道
230,河北省,石家庄市,元氏县,元氏县电视发射台,DS-43,0.3,中央电视台军事农业频道
231,河北省,石家庄市,元氏县,元氏县电视发射台,DS-16,0.3,元氏县广播电视台电视节目
232,河北省,石家庄市,赞皇县,赞皇县电视转播台,DS-14,0.3,中央电视台军事农业频道
233,河北省,石家庄市,赵县,赵县电视发射台,DS-30,0.3,中央电视台军事农业频道
234,河北省,石家庄市,赵县,赵县电视发射台,DS-24,0.3,赵县广播电视台电视节目
235,河北省,石家庄市,正定县,正定县电视发射台,DS-40,1,正定县广播电视台电视节目
236,河北省,唐山市,丰南区,丰南电视发射台,DS-37,3,丰南区广播电视台电视节目
237,河北省,唐山市,丰润区,丰润电视发射台,DS-43,3,丰润区广播电视台电视节目
238,河北省,唐山市,古冶区,古冶区电视转播台,DS-20,1,河北广播电视台新闻综合频道
239,河北省,唐山市,古冶区,古冶区电视转播台,DS-14,0.3,中央电视台军事农业频道
240,河北省,唐山市,乐亭县,乐亭电视发射台,DS-9,0.3,中央电视台军事农业频道
241,河北省,唐山市,乐亭县,乐亭电视发射台,DS-46,3,乐亭县广播电视台电视节目
242,河北省,唐山市,乐亭县,乐亭电视转播台,DS-40,1,河北广播电视台新闻综合频道
243,河北省,唐山市,路北区,唐山电视转播台,DS-1,10,中央电视台综合频道
